"","TARGET","ADJ","sentiment","n"
"1","ignorant","stupid",-0.50517,116
"2","ignorant","naive",-0.20741,87
"3","ignorant","dumb",-0.69744,59
"4","ignorant","selfish",-0.45258,53
"5","ignorant","young",0.32279,43
"6","ignorant","sighted",0,42
"7","ignorant","wrong",-0.4196,42
"8","ignorant","arrogant",-0.6435,41
"9","ignorant","minded",0.11842,36
"10","ignorant","uneducated",-0.51579,29
"11","ignorant","racist",-0.74158,26
"12","ignorant","blind",-0.60047,20
"13","ignorant","lazy",0,20
"14","ignorant","dismissive",-0.35161,18
"15","ignorant","rude",-0.71127,18
"16","ignorant","unaware",-0.32814,18
"17","ignorant","disrespectful",-0.5229,17
"18","ignorant","innocent",0.36766,17
"19","ignorant","uninformed",0.0403,17
"20","ignorant","delusional",0,14
"21","ignorant","foolish",-0.46839,14
"22","ignorant","happy",0.84599,14
"23","ignorant","scared",-0.5618,14
"24","ignorant","immature",-0.50294,13
"25","ignorant","afraid",-0.66386,12
"26","ignorant","privileged",0.14091,11
"27","ignorant","ridiculous",-0.31108,11
"28","ignorant","old",-0.45615,10
"29","ignorant","sheltered",0.11441,10
"30","ignorant","dishonest",-0.4988,9
"31","ignorant","disingenuous",-0.39584,9
"32","ignorant","entitled",0,9
"33","ignorant","oblivious",-0.14557,9
"34","ignorant","complacent",-0.12623,8
"35","ignorant","cruel",-0.56357,8
"36","ignorant","fearful",-0.56808,8
"37","ignorant","laughable",0.28011,8
"38","ignorant","silly",0.40929,8
"39","ignorant","toxic",-0.69862,8
"40","ignorant","confused",-0.45179,7
"41","ignorant","incorrect",-0.50243,7
"42","ignorant","righteous",0.24874,7
"43","ignorant","shortsighted",-0.37795,7
"44","ignorant","weak",-0.51189,7
"45","ignorant","absurd",-0.14641,6
"46","ignorant","deaf",-0.40365,6
"47","ignorant","emotional",0.02558,6
"48","ignorant","false",-0.49847,6
"49","ignorant","hateful",-0.76927,6
"50","ignorant","illiterate",-0.41535,6
"51","unaware","ignorant",-0.45899,103
"52","unaware","young",0.32279,89
"53","unaware","stupid",-0.50517,59
"54","unaware","dumb",-0.69744,58
"55","unaware","naive",-0.20741,46
"56","unaware","asleep",0.41532,44
"57","unaware","unskilled",-0.38901,44
"58","unaware","aware",0.45985,40
"59","unaware","new",0.62681,38
"60","unaware","innocent",0.36766,29
"61","unaware","confused",-0.45179,27
"62","unaware","uneducated",-0.51579,27
"63","unaware","selfish",-0.45258,26
"64","unaware","unconscious",-0.27508,24
"65","unaware","blind",-0.60047,23
"66","unaware","stationary",0.09705,22
"67","unaware","incompetent",-0.59424,21
"68","unaware","happy",0.84599,20
"69","unaware","old",-0.45615,19
"70","unaware","delusional",0,18
"71","unaware","oblivious",-0.14557,18
"72","unaware","minded",0.11842,17
"73","unaware","dead",-0.72055,16
"74","unaware","unprepared",-0.46082,16
"75","unaware","drunk",0,15
"76","unaware","surprised",0.44736,14
"77","unaware","asymptomatic",-0.1874,13
"78","unaware","uninformed",0.0403,12
"79","unaware","wrong",-0.4196,12
"80","unaware","distracted",-0.19821,11
"81","unaware","immature",-0.50294,11
"82","unaware","insensitive",-0.40585,11
"83","unaware","privileged",0.14091,11
"84","unaware","clueless",-0.36335,10
"85","unaware","dense",-0.13256,10
"86","unaware","inexperienced",-0.41718,10
"87","unaware","alive",0.39626,9
"88","unaware","alone",-0.23905,9
"89","unaware","clumsy",-0.23287,9
"90","unaware","discrete",0,9
"91","unaware","dark",0.05278,8
"92","unaware","disconnected",-0.1018,8
"93","unaware","lost",-0.61051,7
"94","unaware","racist",-0.74158,7
"95","unaware","rude",-0.71127,7
"96","unaware","sheltered",0.11441,7
"97","unaware","sick",-0.68277,7
"98","unaware","spoiled",-0.43071,7
"99","unaware","uninvolved",-0.04686,7
"100","unaware","careless",-0.3266,6
